,transfus_yes,trans_loss,Accrete,AdmBishop,Admcervpos,Admconsistency,Admcontract,AdmDBP,Admefface,Admpresent,AdmSBP,Analgesia,Augment,BESTGA,breech,breech9,chorio,chorio9,CS_Breech,CS_Chorio,CS_Emerg,CS_Fforceps,CS_Finduct,CS_FTP,CS_FVBAC,CS_NRFHT,CS_Other,CS_Shoulder,Dehiscence,Delfetalpos,Delmode,Dilat_lst,eclamp,Episiotomy,FSE,GAmethod,HosEpiNurse,HosEpitype,Hyp_any,Hyp_calc,Hyp_clon,Hyp_hydr,Hyp_othr,Ind_Unkn,Induction,Inoxy_incrdose,intra_abruptio,intra_previa,Intrachorio,Intrafetdistress,Intrafever,IntraMgSO,Intratocolytix,IUPC,Lac_Cerv,Lac_Majoth,Lac_Majperi,Lac_Min,Lac_None,Lac_Other,M_pre,Malpresentation9,Meconium,Momseizure,MthInd_AROM,MthInd_Oxy,Operative,Presentdel,Prolapse,ROM,ROMmeth,SE_pre,Shoulder,spontlabor,TrialLabor,Urupture,vertex,Activeherpes,Admreason,Alcohol,Anteabruption,Anteanemia,Anteasthma,Antebleed3,AnteCHBP,Antechorio,Antefetaldth,Antefetdistress,AnteGBS,AnteGDM,Antehospital,AnteLGA,Anteprevia,AnteSGA,AnteSTD,Antesteroid,Antethrombo,Antethyroid,AnteUTI,ART,Cerclage,ChronicHBP,CPD,CS_Elect,CS_Fetanom,CS_Fetmac,CS_HIV,CS_HTNdis,CS_HxShoulder,CS_Mult,CS_UScar,depression_comb,Diabetes,DMControl,Druguse,Eclampsia,ECV,Education,gest_diab,gest_htn,GestHBP,GI_disease_comb,gi_disease9,Heart_disease_comb,high_Gravidity,high_height,HIV,HospElectCS,HospElectInd,Hostype,Hxanemia,Hxasthma,Hxcsection,Hxdepression,HxGIdis,Hxheartdis,Hxmacrosomia,HxnumCS,Hxpreterm,Hxrenaldis,Hxseizure,HxSTD,Hxstillbirth,Hxthyroid,Hyp_ace,Hyp_alpha,Hyp_beta,Hyp_meth,hypertyro,iatro_hypo,ImposedPE,Incompetence,Ind_anomaly,Ind_Chorio,Ind_elect,Ind_FComp,Ind_Fmacro,Ind_HTN,Ind_Hxfetal,Ind_HxMat,Ind_Mcond,Ind_Postdate,Ind_Still,Ind_Vbleed,Insurance,iufd9,Marital,momrace_new,MthInd_Mec,MthInd_Miso,MthInd_PGE2,no_TD,Oligo,other_TD,Parity,Polyhydramnios,PostHBP,pre_diab,pre_PROM,Preeclampsia,prelaborCD,prim_hypo,renal_disease_comb,renal_disease9,Rhincompat,Smoke,TD_nos,ThreatenedPB,threatpb9,UnspecHBP,uscar,version9,new_age,new_BMI,new_high_Age,new_high_BMI,Sitenum
transfus_yes,0.999901,0.696676,0.049780,0.127587,0.089333,0.091710,0.163442,0.078695,0.060614,0.082568,0.080427,0.096594,0.106582,0.144632,0.015068,0.007514,0.007027,0.006291,0.007531,0.000000,0.000000,0.000000,0.002994,0.000696,0.000000,0.000000,0.000000,0.000000,0.000000,0.092666,0.026588,0.049439,0.009204,0.080070,0.031570,0.089758,0.108276,0.035140,0.013446,0.004369,0.000000,0.000000,0.002471,0.055848,0.018222,0.163665,0.053020,0.045628,0.007269,0.014793,0.012890,0.040000,0.169665,0.019483,0.003926,0.011573,0.011041,0.000000,0.010709,0.004103,0.000000,0.015781,0.037192,0.012177,0.082365,0.038808,0.045141,0.021358,0.008469,0.017326,0.053182,0.006127,0.003697,0.011906,0.016496,0.024818,0.016577,0.004910,0.051562,0.016648,0.043831,0.047589,0.023825,0.025023,0.000752,0.000000,0.011367,0.013923,0.001792,0.003040,0.018973,0.010200,0.042038,0.016423,0.007835,0.057704,0.012551,0.028396,0.000000,0.005135,0.000000,0.007782,0.005177,0.015129,0.000000,0.010065,0.000000,0.013602,0.000000,0.000000,0.010318,0.010606,0.000000,0.128169,0.003474,0.003967,0.013699,0.157626,0.013171,0.006052,0.025498,0.005160,0.000000,0.003075,0.012140,0.032434,0.002670,0.137955,0.067034,0.136822,0.000000,0.009377,0.012432,0.013937,0.006014,0.000000,0.009098,0.064927,0.012990,0.000000,0.014372,0.000000,0.000000,0.014257,0.000000,0.003774,0.014499,0.000829,0.001514,0.005953,0.000000,0.001376,0.000000,0.000000,0.060577,0.005767,0.000000,0.023075,0.000000,0.001938,0.005327,0.004059,0.005545,0.003708,0.067622,0.012590,0.051556,0.082034,0.014242,0.009888,0.016368,0.013677,0.002550,0.000860,0.027812,0.006153,0.022417,0.004503,0.025414,0.023193,0.012641,0.004177,0.000000,0.010215,0.014630,0.006550,0.014725,0.035636,0.002076,0.012605,0.009805,0.002311,0.026023,0.062558,0.015935,0.020853,0.218886
trans_loss,0.696676,0.999949,0.059493,0.060198,0.041750,0.043954,0.095591,0.074169,0.056240,0.085592,0.077786,0.091186,0.055435,0.099550,0.057859,0.043597,0.024624,0.032006,0.042899,0.024216,0.018412,0.018857,0.022811,0.086387,0.009694,0.066738,0.020534,0.004027,0.009140,0.042557,0.181382,0.089133,0.009474,0.048013,0.023196,0.059564,0.066876,0.008362,0.030696,0.015247,0.000000,0.003755,0.000000,0.049376,0.021528,0.085416,0.065817,0.077510,0.018277,0.048697,0.044763,0.051330,0.068709,0.020950,0.007212,0.023195,0.004005,0.071589,0.044014,0.007394,0.019999,0.047748,0.025628,0.016471,0.036743,0.010066,0.026756,0.065764,0.016882,0.002523,0.080342,0.025677,0.005044,0.042328,0.116565,0.036333,0.053880,0.004337,0.041085,0.013204,0.059348,0.055141,0.022564,0.029428,0.023103,0.020114,0.008486,0.043225,0.000000,0.015034,0.017619,0.024369,0.072204,0.012605,0.005519,0.050139,0.009832,0.021322,0.004267,0.000000,0.007128,0.020671,0.000000,0.040257,0.030221,0.032904,0.013117,0.028516,0.008354,0.025379,0.083933,0.023619,0.036089,0.070662,0.010618,0.005737,0.012161,0.074154,0.015284,0.008180,0.022543,0.000000,0.002206,0.009451,0.022076,0.018015,0.000654,0.053015,0.026051,0.066078,0.066856,0.022015,0.077223,0.025599,0.000615,0.000000,0.020208,0.115416,0.022143,0.001271,0.018274,0.005739,0.004742,0.012054,0.000000,0.001527,0.024293,0.002859,0.000896,0.009334,0.016254,0.008871,0.000000,0.000000,0.019946,0.000000,0.007245,0.025902,0.000000,0.000000,0.000000,0.000000,0.002251,0.007763,0.074488,0.007181,0.025546,0.041479,0.003072,0.008212,0.018186,0.014329,0.011968,0.000950,0.020539,0.020288,0.035482,0.038189,0.015509,0.035084,0.092073,0.007816,0.002831,0.007551,0.012671,0.001985,0.009030,0.023838,0.004755,0.021737,0.080637,0.005868,0.030939,0.055641,0.023032,0.040972,0.142954
Accrete,0.049780,0.059493,0.995533,0.002422,0.003024,0.000000,0.014365,0.019452,0.007816,0.016925,0.019399,0.035933,0.008819,0.066885,0.010918,0.014515,0.000000,0.000000,0.002637,0.000000,0.001331,0.003415,0.000000,0.000000,0.007551,0.007794,0.000000,0.012198,0.005760,0.024655,0.025849,0.014412,0.000795,0.008343,0.007506,0.010999,0.000938,0.000000,0.000000,0.006687,0.015408,0.000000,0.027088,0.002228,0.007070,0.025761,0.021766,0.091964,0.000000,0.002162,0.011275,0.011523,0.013213,0.006567,0.000000,0.000000,0.000000,0.010848,0.011721,0.000000,0.000000,0.000000,0.000000,0.001597,0.004593,0.008303,0.000000,0.039657,0.000000,0.007323,0.015800,0.000000,0.000000,0.007735,0.028520,0.005102,0.016814,0.000000,0.016556,0.000000,0.014691,0.014334,0.000000,0.036756,0.000000,0.000000,0.002227,0.005914,0.000452,0.000000,0.000677,0.000000,0.100111,0.000000,0.000000,0.024838,0.016049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002896,0.000000,0.000000,0.003493,0.007834,0.004876,0.015554,0.000000,0.000000,0.010095,0.004845,0.001967,0.000000,0.000000,0.000000,0.000000,0.002107,0.000000,0.000000,0.000000,0.017361,0.000000,0.000000,0.015121,0.015329,0.008521,0.019937,0.005892,0.020057,0.000000,0.000000,0.000000,0.008516,0.045888,0.005217,0.000000,0.000000,0.000000,0.006061,0.000000,0.011352,0.033256,0.000000,0.000000,0.000000,0.002763,0.000000,0.000000,0.000855,0.003933,0.005593,0.000000,0.000000,0.002151,0.001421,0.002212,0.000000,0.002390,0.000000,0.004671,0.008116,0.000000,0.004104,0.011331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000630,0.014709,0.000000,0.001147,0.000000,0.005099,0.000000,0.024001,0.000000,0.000000,0.005102,0.000000,0.005493,0.000517,0.003261,0.000000,0.000000,0.020439,0.000000,0.032815,0.000000,0.020865,0.000000,0.028210
AdmBishop,0.127587,0.060198,0.002422,1.000000,0.480183,0.458382,0.166484,0.080017,0.176651,0.037576,0.086176,0.108118,0.102067,0.110745,0.054531,0.058229,0.043654,0.031769,0.043944,0.012629,0.004030,0.000000,0.027125,0.063042,0.013308,0.067030,0.066449,0.000000,0.000000,0.148831,0.109284,0.134308,0.011728,0.084817,0.166769,0.199437,0.391099,0.124347,0.078525,0.045872,0.000000,0.020835,0.010009,0.158979,0.129317,0.239714,0.014494,0.037747,0.040113,0.062063,0.043713,0.068293,0.188815,0.121223,0.010705,0.024496,0.032854,0.091348,0.046757,0.013998,0.053044,0.040491,0.108147,0.007619,0.295502,0.167650,0.049809,0.028303,0.010129,0.067326,0.080753,0.042067,0.011390,0.205877,0.189661,0.007553,0.090427,0.023126,0.124528,0.020415,0.019238,0.022642,0.027905,0.000000,0.054387,0.033122,0.026540,0.078672,0.019941,0.036073,0.118812,0.034116,0.037446,0.058913,0.079177,0.028059,0.010394,0.050438,0.027101,0.023071,0.006249,0.071758,0.021738,0.092175,0.019075,0.033929,0.020573,0.064129,0.000000,0.022656,0.122775,0.039410,0.049823,0.130678,0.053027,0.011088,0.028513,0.223658,0.038947,0.043379,0.066006,0.032248,0.005027,0.029545,0.029603,0.044121,0.025541,0.283816,0.128988,0.363668,0.045120,0.021436,0.125829,0.048846,0.031317,0.037003,0.023232,0.072784,0.019915,0.037985,0.012670,0.049316,0.046021,0.039360,0.006152,0.000000,0.065500,0.020127,0.004272,0.007530,0.042869,0.015153,0.014702,0.003683,0.224639,0.082842,0.028646,0.092264,0.031141,0.005263,0.052771,0.077063,0.013582,0.004797,0.135816,0.025258,0.118523,0.129319,0.131361,0.136564,0.122653,0.034686,0.077914,0.000000,0.019545,0.029008,0.023422,0.042175,0.056553,0.117824,0.171239,0.016318,0.038584,0.000000,0.019589,0.046204,0.044617,0.043156,0.020365,0.018593,0.132919,0.017439,0.035925,0.046302,0.042629,0.043919,0.217396
Admcervpos,0.089333,0.041750,0.003024,0.480183,1.000000,0.577342,0.432699,0.250538,0.337730,0.103533,0.270485,0.287004,0.214170,0.221710,0.078985,0.080568,0.046820,0.028494,0.064357,0.017496,0.005551,0.016414,0.043622,0.028090,0.005083,0.039934,0.081350,0.000000,0.005565,0.228415,0.146232,0.171438,0.012797,0.188419,0.098856,0.205242,0.166311,0.189754,0.049143,0.035188,0.002039,0.025091,0.003099,0.113646,0.127401,0.242781,0.027173,0.054146,0.059830,0.036656,0.063155,0.030151,0.184912,0.044465,0.020925,0.086410,0.031100,0.099797,0.034850,0.022398,0.044444,0.028207,0.110186,0.009780,0.159581,0.063546,0.056684,0.063791,0.003386,0.052758,0.140873,0.046880,0.028621,0.198974,0.275696,0.003837,0.151674,0.023394,0.160222,0.027839,0.003123,0.078546,0.038558,0.007587,0.047895,0.016477,0.014181,0.058447,0.049899,0.014528,0.204321,0.019494,0.051227,0.023639,0.121140,0.038014,0.014100,0.042798,0.070018,0.002381,0.020388,0.085956,0.020194,0.145757,0.013052,0.035922,0.023417,0.030047,0.008157,0.017065,0.184662,0.025161,0.069383,0.029061,0.030366,0.009323,0.003181,0.122858,0.034909,0.020260,0.023407,0.049223,0.005157,0.031227,0.017068,0.028639,0.027242,0.306614,0.137302,0.469097,0.103682,0.046495,0.177576,0.027882,0.051088,0.039115,0.027648,0.167926,0.017987,0.061103,0.001959,0.085605,0.070797,0.012530,0.002367,0.000000,0.042582,0.016088,0.002770,0.001410,0.052429,0.015774,0.010787,0.006051,0.152306,0.037103,0.011490,0.063354,0.010665,0.026080,0.043624,0.056824,0.012731,0.006874,0.201244,0.012481,0.059068,0.148169,0.039168,0.048466,0.061286,0.019205,0.079286,0.000000,0.028970,0.012944,0.008002,0.055955,0.003032,0.107641,0.251383,0.000320,0.061909,0.006320,0.034456,0.086026,0.029673,0.019677,0.031139,0.018249,0.188379,0.009074,0.062635,0.049522,0.030719,0.025554,0.464028
Admconsistency,0.091710,0.043954,0.000000,0.458382,0.577342,1.000000,0.438838,0.255300,0.343773,0.104378,0.276670,0.290945,0.216351,0.227994,0.081249,0.081867,0.050197,0.031266,0.065373,0.016898,0.004791,0.017353,0.044705,0.041308,0.004305,0.048728,0.085318,0.000000,0.004621,0.232637,0.153343,0.186686,0.013423,0.190335,0.098850,0.208738,0.168932,0.201443,0.069983,0.044083,0.000000,0.026639,0.000000,0.114576,0.119200,0.242366,0.028291,0.054156,0.062756,0.044924,0.065930,0.058043,0.188584,0.044782,0.020859,0.086631,0.030912,0.106278,0.051007,0.023012,0.051517,0.028499,0.112191,0.006979,0.155536,0.056796,0.058057,0.065662,0.001555,0.055584,0.142842,0.051434,0.029538,0.197245,0.279888,0.000092,0.154333,0.023780,0.162191,0.030185,0.007695,0.077712,0.038253,0.000000,0.051387,0.015134,0.031403,0.058868,0.048716,0.014316,0.207050,0.011157,0.051052,0.032286,0.124159,0.044130,0.018511,0.041238,0.071757,0.000000,0.020127,0.088083,0.021249,0.148065,0.016460,0.037145,0.024606,0.053147,0.009180,0.022510,0.187054,0.025507,0.070965,0.025365,0.030780,0.010305,0.002910,0.124145,0.034674,0.031497,0.036128,0.050356,0.008786,0.031492,0.021643,0.024377,0.027614,0.308962,0.139655,0.479529,0.106901,0.046042,0.179487,0.028114,0.052508,0.039444,0.027849,0.169790,0.018797,0.061925,0.005593,0.088945,0.071835,0.013140,0.003974,0.000000,0.059479,0.021960,0.000000,0.002727,0.055715,0.016490,0.014140,0.005344,0.150075,0.035441,0.008269,0.078395,0.009178,0.026003,0.043567,0.058447,0.025968,0.006786,0.205639,0.035681,0.062127,0.151179,0.065558,0.074463,0.057573,0.018607,0.084641,0.000000,0.035905,0.009157,0.015059,0.057149,0.018366,0.126241,0.254830,0.004966,0.062740,0.009196,0.035252,0.088644,0.029284,0.026860,0.031640,0.023891,0.190403,0.008791,0.063760,0.053010,0.031323,0.027466,0.470179
Admcontract,0.163442,0.095591,0.014365,0.166484,0.432699,0.438838,1.000000,0.062279,0.092269,0.118008,0.064877,0.208627,0.157399,0.069464,0.092229,0.097943,0.060904,0.040345,0.071238,0.038926,0.004538,0.021160,0.084486,0.050024,0.000000,0.102738,0.127016,0.000000,0.000000,0.182538,0.147293,0.104405,0.021558,0.163455,0.181894,0.409436,0.533269,0.375159,0.165956,0.114322,0.000000,0.035558,0.055651,0.241474,0.199001,0.420135,0.060619,0.049617,0.073195,0.110247,0.103801,0.117382,0.264855,0.210421,0.031349,0.125672,0.056038,0.133839,0.143825,0.059285,0.088108,0.039751,0.116161,0.021413,0.326154,0.287864,0.055085,0.082920,0.000000,0.112445,0.228634,0.104210,0.027664,0.333698,0.280656,0.000000,0.243659,0.032793,0.246413,0.041462,0.047689,0.099375,0.081636,0.035623,0.086700,0.065639,0.038775,0.160163,0.057256,0.067788,0.248382,0.066542,0.048882,0.068358,0.155528,0.104571,0.051067,0.085616,0.155963,0.037970,0.043398,0.198782,0.026621,0.157462,0.050222,0.053928,0.024447,0.094420,0.000000,0.078723,0.185698,0.052414,0.086825,0.272055,0.100893,0.024693,0.032999,0.404585,0.070683,0.041420,0.088297,0.112897,0.017039,0.039069,0.046349,0.067855,0.057877,0.531241,0.344383,0.533177,0.276328,0.065546,0.178069,0.061454,0.119749,0.046390,0.070352,0.150583,0.055575,0.070480,0.032470,0.185903,0.083237,0.037944,0.000000,0.000000,0.111646,0.058501,0.014316,0.043450,0.128514,0.034860,0.025233,0.020689,0.258022,0.092605,0.025396,0.096423,0.026761,0.042195,0.097207,0.111442,0.037017,0.000000,0.220760,0.037354,0.141420,0.175449,0.111229,0.246199,0.098606,0.042226,0.138605,0.008952,0.023378,0.000000,0.063456,0.074101,0.131017,0.153440,0.276933,0.033828,0.069404,0.000000,0.041813,0.114564,0.050172,0.116323,0.038029,0.058848,0.189288,0.009680,0.108741,0.044011,0.054793,0.077288,0.465248
AdmDBP,0.078695,0.074169,0.019452,0.080017,0.250538,0.255300,0.062279,1.000000,0.032782,0.039808,0.282310,0.092352,0.132967,0.061578,0.038518,0.029460,0.049958,0.020678,0.021560,0.026898,0.008318,0.000000,0.030149,0.038923,0.020969,0.045575,0.106996,0.000000,0.000000,0.052600,0.045480,0.031250,0.073755,0.050266,0.074837,0.091808,0.140580,0.070953,0.278847,0.108435,0.104221,0.141924,0.068638,0.062392,0.071964,0.144795,0.042283,0.029711,0.054541,0.041436,0.048198,0.314177,0.139352,0.060105,0.040521,0.043329,0.022748,0.063544,0.063065,0.000000,0.172276,0.016640,0.052173,0.074721,0.035234,0.161485,0.020916,0.049219,0.000000,0.045383,0.207495,0.206208,0.000000,0.126299,0.067863,0.008712,0.175529,0.018959,0.096125,0.038847,0.040541,0.072602,0.042138,0.039196,0.151867,0.042552,0.046837,0.057603,0.033884,0.024661,0.121133,0.034981,0.031302,0.041855,0.030288,0.066967,0.033282,0.027189,0.026437,0.007264,0.011277,0.211508,0.000000,0.124919,0.052517,0.000000,0.010782,0.181638,0.000000,0.022114,0.059372,0.011988,0.043621,0.082269,0.043936,0.128396,0.007292,0.184890,0.027552,0.153831,0.183496,0.018908,0.016881,0.027666,0.058694,0.030285,0.021723,0.301298,0.203423,0.209963,0.103286,0.047629,0.054173,0.020735,0.020913,0.018311,0.032300,0.109384,0.033229,0.016061,0.021960,0.026976,0.057510,0.000000,0.003144,0.000000,0.246894,0.078447,0.018035,0.000000,0.206778,0.033046,0.014712,0.046688,0.065188,0.043616,0.029411,0.193839,0.000000,0.000000,0.046736,0.048563,0.027460,0.000000,0.094952,0.043399,0.043388,0.054548,0.074489,0.061169,0.006300,0.000000,0.051075,0.000000,0.038456,0.020325,0.122104,0.040213,0.027080,0.269915,0.096972,0.010746,0.032326,0.131557,0.031168,0.046518,0.022540,0.048349,0.022411,0.110281,0.051935,0.000000,0.015866,0.008075,0.026826,0.028008,0.249340
Admefface,0.060614,0.056240,0.007816,0.176651,0.337730,0.343773,0.092269,0.032782,1.000000,0.058216,0.037018,0.111746,0.123853,0.050893,0.147129,0.145109,0.018099,0.031240,0.122521,0.019281,0.072785,0.010316,0.068622,0.083866,0.000000,0.090136,0.161129,0.000000,0.000000,0.125171,0.219562,0.206116,0.021819,0.086041,0.189053,0.165750,0.207990,0.302298,0.078347,0.028158,0.000000,0.057127,0.000000,0.209410,0.274495,0.223394,0.042796,0.090228,0.010119,0.083690,0.072965,0.084904,0.104881,0.183624,0.022006,0.079757,0.032730,0.254179,0.207479,0.021117,0.060397,0.018430,0.077741,0.017949,0.232164,0.297492,0.036891,0.084309,0.052217,0.072954,0.202890,0.067360,0.022958,0.363561,0.489898,0.000000,0.282796,0.048394,0.219347,0.004330,0.010534,0.034628,0.041150,0.031228,0.083375,0.044441,0.033771,0.102136,0.053184,0.048857,0.071401,0.050528,0.089832,0.045213,0.113049,0.077271,0.016804,0.030557,0.026627,0.031795,0.013418,0.091043,0.029088,0.190605,0.032217,0.065155,0.033696,0.083238,0.004513,0.046961,0.327214,0.025722,0.073227,0.097470,0.044406,0.013934,0.017393,0.128276,0.071223,0.063833,0.068553,0.029937,0.007547,0.034806,0.064844,0.039634,0.029178,0.299213,0.139308,0.176775,0.065922,0.031930,0.320467,0.031749,0.030801,0.027676,0.054050,0.153522,0.051850,0.033965,0.017764,0.075850,0.057384,0.014621,0.000000,0.000000,0.060607,0.027123,0.007186,0.000000,0.065296,0.014463,0.034443,0.027382,0.236175,0.087652,0.050697,0.121675,0.026039,0.020174,0.113665,0.112344,0.030817,0.000000,0.110096,0.028989,0.077222,0.095397,0.092874,0.112859,0.113586,0.022114,0.086765,0.000000,0.033364,0.021431,0.039311,0.068959,0.059839,0.080367,0.427322,0.014001,0.033879,0.000000,0.020724,0.099194,0.018904,0.017131,0.034490,0.044079,0.332727,0.000000,0.015267,0.028737,0.038981,0.066754,0.223110
Admpresent,0.082568,0.085592,0.016925,0.037576,0.103533,0.104378,0.118008,0.039808,0.058216,1.000000,0.035742,0.108163,0.084422,0.097354,0.431382,0.384290,0.063263,0.015392,0.390525,0.022675,0.030256,0.016462,0.037550,0.046351,0.000000,0.053581,0.058690,0.000000,0.005112,0.140182,0.135520,0.083489,0.019004,0.070988,0.052083,0.128326,0.139374,0.178985,0.039202,0.046804,0.000000,0.017911,0.000000,0.148850,0.088937,0.273693,0.044487,0.035086,0.054987,0.062594,0.092982,0.049450,0.147680,0.063582,0.027729,0.079391,0.013182,0.136269,0.075029,0.012145,0.022719,0.075085,0.031305,0.022292,0.167446,0.137465,0.020060,0.198915,0.031378,0.060657,0.086178,0.025725,0.038343,0.102430,0.305760,0.000000,0.369257,0.036134,0.105188,0.000000,0.038136,0.027777,0.031747,0.047627,0.018236,0.031775,0.037211,0.061241,0.072612,0.024972,0.040015,0.013255,0.031443,0.026288,0.063547,0.066807,0.013789,0.063946,0.018111,0.029176,0.014545,0.037010,0.014925,0.113961,0.044295,0.029895,0.015590,0.052453,0.023056,0.029489,0.190344,0.019210,0.059264,0.232441,0.065768,0.007874,0.051827,0.147902,0.028757,0.040123,0.079097,0.018422,0.000000,0.020185,0.026184,0.024648,0.008413,0.329281,0.215039,0.132108,0.124499,0.021155,0.162727,0.020451,0.018636,0.019719,0.038428,0.055471,0.032618,0.041175,0.019727,0.053455,0.038731,0.036868,0.007550,0.000000,0.024453,0.020119,0.000000,0.011195,0.013702,0.016456,0.005333,0.000000,0.142200,0.020270,0.007224,0.018937,0.000000,0.018512,0.025053,0.018566,0.033330,0.000000,0.046730,0.045925,0.099468,0.051891,0.063855,0.070012,0.018412,0.029463,0.014808,0.000000,0.022970,0.019426,0.060322,0.040536,0.084661,0.016513,0.251799,0.019750,0.041881,0.005375,0.038877,0.025440,0.022525,0.096161,0.015565,0.039523,0.167864,0.034955,0.025339,0.036813,0.038740,0.016852,0.199916
AdmSBP,0.080427,0.077786,0.019399,0.086176,0.270485,0.276670,0.064877,0.282310,0.037018,0.035742,1.000000,0.099323,0.142264,0.071012,0.054402,0.048735,0.050411,0.023459,0.034166,0.008614,0.000000,0.000000,0.043861,0.054573,0.000000,0.053037,0.115757,0.003202,0.000000,0.062610,0.056050,0.034204,0.060431,0.052715,0.081549,0.100483,0.154078,0.081785,0.307517,0.123274,0.000000,0.145104,0.074212,0.067410,0.074848,0.154122,0.048226,0.033769,0.057824,0.053671,0.054773,0.324842,0.147479,0.071317,0.000000,0.048682,0.014025,0.069446,0.066568,0.033583,0.198293,0.017793,0.055401,0.098764,0.043726,0.170623,0.018543,0.056686,0.000000,0.037910,0.223824,0.270065,0.000000,0.141258,0.082854,0.029036,0.190751,0.000000,0.103020,0.036408,0.045824,0.080686,0.048985,0.049619,0.199163,0.038438,0.045927,0.060441,0.041551,0.039808,0.134437,0.017335,0.034920,0.042205,0.039206,0.086688,0.041518,0.034545,0.034104,0.016185,0.000000,0.275631,0.006493,0.134280,0.035297,0.000000,0.000000,0.217671,0.037391,0.032338,0.068010,0.007993,0.069091,0.086340,0.042895,0.120504,0.005699,0.197483,0.045893,0.171098,0.190734,0.017597,0.000000,0.032949,0.071890,0.032824,0.009813,0.320256,0.214734,0.228178,0.097616,0.054175,0.058418,0.022215,0.020465,0.018541,0.021313,0.119833,0.036945,0.030349,0.000000,0.033852,0.055785,0.014722,0.040664,0.000000,0.283237,0.101053,0.023145,0.062841,0.266195,0.028716,0.000000,0.000000,0.085187,0.044814,0.020206,0.205896,0.000000,0.014526,0.054292,0.049960,0.014653,0.000000,0.102214,0.051507,0.054656,0.063509,0.079777,0.063613,0.000000,0.013423,0.050151,0.000000,0.048315,0.000000,0.135786,0.075417,0.001319,0.280881,0.106587,0.027999,0.035394,0.096761,0.000000,0.048302,0.024346,0.063347,0.031417,0.120158,0.057244,0.000000,0.022696,0.028519,0.048588,0.064835,0.267875
Analgesia,0.096594,0.091186,0.035933,0.108118,0.287004,0.290945,0.208627,0.092352,0.111746,0.108163,0.099323,1.000000,0.160028,0.189240,0.219483,0.217035,0.082885,0.054498,0.210962,0.039961,0.075872,0.024836,0.096511,0.108379,0.000000,0.138493,0.285958,0.006388,0.025634,0.183800,0.257232,0.113328,0.013215,0.197827,0.210810,0.396694,0.553706,0.306189,0.100475,0.075694,0.000000,0.068103,0.007781,0.168693,0.277981,0.556627,0.080476,0.069677,0.095426,0.117744,0.161039,0.093968,0.257841,0.247437,0.076847,0.101944,0.065369,0.242960,0.387197,0.028046,0.051001,0.063726,0.083019,0.022849,0.258267,0.317132,0.066304,0.091713,0.073340,0.067597,0.205171,0.050021,0.040850,0.259512,0.516354,0.025955,0.238904,0.048966,0.312931,0.034838,0.047238,0.181366,0.090090,0.059397,0.096223,0.063119,0.057112,0.193344,0.055827,0.069357,0.189028,0.058156,0.069551,0.051752,0.118113,0.123560,0.049473,0.041624,0.110183,0.050723,0.029759,0.082969,0.022263,0.250401,0.084239,0.088811,0.049846,0.077780,0.019464,0.085155,0.320828,0.110305,0.113037,0.223512,0.076551,0.011224,0.034649,0.308402,0.053882,0.055950,0.084246,0.055119,0.018351,0.047043,0.080927,0.042839,0.032696,0.464988,0.579227,0.414782,0.258227,0.059911,0.345076,0.119289,0.060535,0.048788,0.087447,0.130144,0.077403,0.153625,0.044118,0.127334,0.079617,0.055293,0.005831,0.009662,0.059625,0.038777,0.015849,0.006862,0.065048,0.024821,0.023502,0.025401,0.155387,0.098088,0.058494,0.080693,0.020798,0.042418,0.076094,0.080243,0.043921,0.018049,0.185962,0.046646,0.150724,0.175558,0.105555,0.122653,0.168386,0.039669,0.083525,0.008026,0.042706,0.023712,0.070531,0.067706,0.059288,0.100121,0.536259,0.035565,0.151223,0.006404,0.097316,0.133431,0.036458,0.109642,0.059680,0.054314,0.355354,0.013143,0.042483,0.086319,0.075170,0.070933,0.523059
