,transfus_yes,trans_loss,Accrete,AdmBishop,Admcervpos,Admconsistency,Admcontract,AdmDBP,Admefface,Admpresent,AdmSBP,Analgesia,Augment,BESTGA,breech,breech9,chorio,chorio9,CS_Breech,CS_Chorio,CS_Emerg,CS_Fforceps,CS_Finduct,CS_FTP,CS_FVBAC,CS_NRFHT,CS_Other,CS_Shoulder,Dehiscence,Delfetalpos,Delmode,Dilat_lst,eclamp,Episiotomy,FSE,GAmethod,HosEpiNurse,HosEpitype,Hyp_any,Hyp_calc,Hyp_clon,Hyp_hydr,Hyp_othr,Ind_Unkn,Induction,Inoxy_incrdose,intra_abruptio,intra_previa,Intrachorio,Intrafetdistress,Intrafever,IntraMgSO,Intratocolytix,IUPC,Lac_Cerv,Lac_Majoth,Lac_Majperi,Lac_Min,Lac_None,Lac_Other,M_pre,Malpresentation9,Meconium,Momseizure,MthInd_AROM,MthInd_Oxy,Operative,Presentdel,Prolapse,ROM,ROMmeth,SE_pre,Shoulder,spontlabor,TrialLabor,Urupture,vertex,Activeherpes,Admreason,Alcohol,Anteabruption,Anteanemia,Anteasthma,Antebleed3,AnteCHBP,Antechorio,Antefetaldth,Antefetdistress,AnteGBS,AnteGDM,Antehospital,AnteLGA,Anteprevia,AnteSGA,AnteSTD,Antesteroid,Antethrombo,Antethyroid,AnteUTI,ART,Cerclage,ChronicHBP,CPD,CS_Elect,CS_Fetanom,CS_Fetmac,CS_HIV,CS_HTNdis,CS_HxShoulder,CS_Mult,CS_UScar,depression_comb,Diabetes,DMControl,Druguse,Eclampsia,ECV,Education,gest_diab,gest_htn,GestHBP,GI_disease_comb,gi_disease9,Heart_disease_comb,high_Gravidity,high_height,HIV,HospElectCS,HospElectInd,Hostype,Hxanemia,Hxasthma,Hxcsection,Hxdepression,HxGIdis,Hxheartdis,Hxmacrosomia,HxnumCS,Hxpreterm,Hxrenaldis,Hxseizure,HxSTD,Hxstillbirth,Hxthyroid,Hyp_ace,Hyp_alpha,Hyp_beta,Hyp_meth,hypertyro,iatro_hypo,ImposedPE,Incompetence,Ind_anomaly,Ind_Chorio,Ind_elect,Ind_FComp,Ind_Fmacro,Ind_HTN,Ind_Hxfetal,Ind_HxMat,Ind_Mcond,Ind_Postdate,Ind_Still,Ind_Vbleed,Insurance,iufd9,Marital,momrace_new,MthInd_Mec,MthInd_Miso,MthInd_PGE2,no_TD,Oligo,other_TD,Parity,Polyhydramnios,PostHBP,pre_diab,pre_PROM,Preeclampsia,prelaborCD,prim_hypo,renal_disease_comb,renal_disease9,Rhincompat,Smoke,TD_nos,ThreatenedPB,threatpb9,UnspecHBP,uscar,version9,new_age,new_BMI,new_high_Age,new_high_BMI,Sitenum
transfus_yes,0.999807,0.969132,0.056257,0.333841,0.269433,0.277480,0.446164,0.258022,0.194886,0.260093,0.277371,0.289145,0.270847,0.359904,0.048119,0.018012,0.020452,0.011358,0.024592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003032,0.000000,0.000000,0.005681,0.298072,0.074742,0.159609,0.022126,0.221669,0.105967,0.315374,0.396263,0.103023,0.037023,0.000000,0.000000,0.000000,0.000000,0.206155,0.070333,0.496578,0.112104,0.079648,0.020086,0.041186,0.038272,0.106523,0.495204,0.064996,0.016765,0.033355,0.028413,0.000000,0.029507,0.021601,0.005936,0.049754,0.124445,0.030048,0.206535,0.124855,0.101377,0.065483,0.022730,0.056733,0.204457,0.015793,0.006904,0.018114,0.045777,0.031941,0.054797,0.015631,0.167381,0.046363,0.085513,0.114760,0.074081,0.062119,0.000000,0.000000,0.027798,0.042879,0.000000,0.000000,0.065201,0.039174,0.071319,0.041568,0.020126,0.119992,0.025329,0.071679,0.000000,0.024196,0.000000,0.026340,0.014837,0.054346,0.000000,0.042967,0.000000,0.037380,0.000000,0.000000,0.025679,0.023585,0.004452,0.407819,0.011391,0.014837,0.020916,0.425302,0.031326,0.021492,0.075188,0.030890,0.000000,0.000000,0.031115,0.087622,0.015631,0.412784,0.258070,0.360641,0.000000,0.033246,0.026084,0.028926,0.031094,0.000000,0.022841,0.230318,0.038493,0.007910,0.022993,0.000000,0.000000,0.047063,0.000000,0.000000,0.038242,0.000000,0.010413,0.000000,0.000000,0.000000,0.000000,0.000000,0.162926,0.026864,0.000000,0.061622,0.000000,0.000000,0.018856,0.015895,0.000000,0.006960,0.259707,0.031212,0.162931,0.260599,0.037422,0.033628,0.040701,0.037202,0.009342,0.000000,0.061264,0.011378,0.062790,0.010362,0.082256,0.063264,0.038186,0.011300,0.000000,0.017044,0.044737,0.026104,0.041165,0.082293,0.000000,0.025282,0.019018,0.000000,0.072979,0.198422,0.045826,0.074814,0.613408
trans_loss,0.969132,0.999806,0.054240,0.314234,0.254683,0.261501,0.426209,0.252358,0.177545,0.256095,0.270319,0.267325,0.254490,0.344393,0.055882,0.024766,0.026060,0.017550,0.032535,0.000000,0.004597,0.000000,0.000000,0.021669,0.000000,0.000000,0.006203,0.000000,0.004540,0.268607,0.100374,0.163728,0.020629,0.211670,0.105172,0.301294,0.375355,0.096759,0.039466,0.000000,0.000000,0.000000,0.000000,0.203475,0.070174,0.471237,0.113526,0.083803,0.024179,0.052051,0.049445,0.104605,0.469129,0.071474,0.021959,0.035378,0.023265,0.015012,0.034646,0.022726,0.017450,0.057820,0.118552,0.028654,0.199456,0.120833,0.097823,0.064194,0.024725,0.050874,0.203403,0.026610,0.000000,0.000000,0.067217,0.030633,0.059275,0.017921,0.153902,0.045147,0.083597,0.118859,0.070310,0.060282,0.000000,0.000000,0.025068,0.030183,0.000000,0.000000,0.067705,0.029481,0.073615,0.037450,0.018464,0.117165,0.023302,0.068901,0.000000,0.026074,0.000000,0.008609,0.008332,0.037511,0.000000,0.023613,0.000000,0.041845,0.000000,0.000000,0.041259,0.026607,0.008486,0.392617,0.010879,0.013611,0.021159,0.404192,0.030066,0.019121,0.071547,0.032411,0.000000,0.000000,0.029190,0.084033,0.010358,0.388053,0.229513,0.338854,0.015279,0.034510,0.036781,0.032478,0.032264,0.000000,0.022000,0.237645,0.037205,0.008465,0.027434,0.000000,0.000000,0.047692,0.000000,0.000000,0.044296,0.000000,0.004505,0.000000,0.000000,0.000000,0.000000,0.000000,0.156564,0.022416,0.000000,0.062213,0.000000,0.000000,0.013948,0.008148,0.000000,0.005571,0.261570,0.028990,0.150849,0.248128,0.035292,0.034002,0.046223,0.038537,0.007318,0.000000,0.055815,0.012068,0.064728,0.012917,0.078285,0.064747,0.010167,0.016250,0.000000,0.015984,0.042180,0.025641,0.038673,0.078883,0.000000,0.025068,0.032907,0.000000,0.066864,0.182789,0.040277,0.067930,0.591010
Accrete,0.056257,0.054240,0.988322,0.015324,0.039417,0.037225,0.027331,0.118252,0.067849,0.105777,0.085880,0.141511,0.013983,0.242901,0.029930,0.032741,0.006057,0.000000,0.000000,0.017263,0.018489,0.041883,0.000000,0.000000,0.041883,0.028879,0.000000,0.075139,0.041883,0.091170,0.089717,0.031259,0.010323,0.028429,0.017846,0.053789,0.000000,0.012329,0.000000,0.024356,0.000000,0.011756,0.000000,0.004848,0.029122,0.078241,0.055896,0.236875,0.009704,0.020292,0.036173,0.030524,0.047588,0.003941,0.000000,0.000000,0.000000,0.032374,0.040772,0.018489,0.000000,0.000000,0.000000,0.011024,0.021614,0.023040,0.000000,0.070768,0.002707,0.026275,0.015378,0.000000,0.007923,0.015945,0.087204,0.012525,0.051798,0.000000,0.046237,0.000000,0.013060,0.039181,0.000000,0.110976,0.018896,0.000000,0.019854,0.006718,0.000000,0.000000,0.034736,0.000000,0.250233,0.000000,0.005154,0.089860,0.031846,0.000000,0.000000,0.001355,0.000000,0.009987,0.018489,0.000000,0.000000,0.000000,0.010323,0.000000,0.052220,0.047455,0.055607,0.013484,0.000000,0.043397,0.026085,0.018489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008989,0.000000,0.070525,0.009833,0.000000,0.060284,0.069650,0.028889,0.035691,0.024143,0.075219,0.004987,0.000000,0.000000,0.012179,0.126851,0.020512,0.000000,0.000000,0.000000,0.015530,0.000000,0.075139,0.000000,0.000000,0.015143,0.012525,0.015143,0.010683,0.000000,0.016155,0.031248,0.019702,0.000000,0.002707,0.000000,0.021425,0.031248,0.000000,0.000000,0.005130,0.027968,0.012405,0.000000,0.018823,0.051118,0.000000,0.000000,0.000000,0.000000,0.000000,0.013340,0.059562,0.000000,0.000000,0.000000,0.014534,0.000000,0.077732,0.000000,0.000000,0.021425,0.000000,0.000000,0.000000,0.001254,0.016155,0.000000,0.077811,0.011024,0.071490,0.082013,0.030988,0.019580,0.092573
AdmBishop,0.333841,0.314234,0.015324,1.000000,0.541610,0.529979,0.175787,0.080177,0.218852,0.074422,0.094154,0.129034,0.125787,0.071733,0.090154,0.087390,0.042288,0.027351,0.068197,0.000000,0.000000,0.000000,0.029857,0.066180,0.000000,0.098436,0.096459,0.064826,0.018300,0.183807,0.157480,0.186098,0.000000,0.090408,0.179802,0.212487,0.389284,0.080507,0.126145,0.139668,0.000000,0.000000,0.000000,0.183916,0.162040,0.280518,0.056946,0.090337,0.035039,0.094654,0.058684,0.120647,0.239283,0.180418,0.000000,0.000000,0.046187,0.149626,0.068358,0.000000,0.058511,0.048773,0.110886,0.000000,0.346463,0.254370,0.050154,0.060931,0.000000,0.088589,0.086691,0.068954,0.000000,0.224345,0.284346,0.000000,0.130574,0.000000,0.181222,0.040494,0.021254,0.007662,0.009243,0.052847,0.080939,0.029698,0.035655,0.115711,0.018263,0.030662,0.133023,0.040936,0.091046,0.083181,0.100070,0.053891,0.035169,0.028293,0.014690,0.013781,0.012215,0.097237,0.000000,0.109709,0.010509,0.049410,0.000000,0.060376,0.000000,0.026535,0.182260,0.037005,0.068313,0.183068,0.084804,0.000000,0.068755,0.249141,0.049304,0.072297,0.098351,0.029040,0.035507,0.045640,0.034229,0.090864,0.017954,0.359999,0.159506,0.375469,0.111818,0.000000,0.190253,0.040914,0.025475,0.037886,0.036622,0.106253,0.012624,0.042990,0.023561,0.078541,0.060283,0.028402,0.000000,0.000000,0.068650,0.000000,0.043780,0.000000,0.060206,0.020963,0.000000,0.000000,0.283217,0.097450,0.049383,0.099751,0.042107,0.000000,0.075713,0.121804,0.010119,0.000000,0.136139,0.020243,0.147670,0.167684,0.213683,0.219210,0.166016,0.022950,0.076227,0.000000,0.018413,0.031493,0.076060,0.056689,0.091790,0.092478,0.226495,0.008695,0.045337,0.000000,0.020839,0.037062,0.031079,0.050840,0.000000,0.029999,0.195979,0.014294,0.044503,0.063825,0.055314,0.071929,0.201525
Admcervpos,0.269433,0.254683,0.039417,0.541610,1.000000,0.565811,0.418068,0.235647,0.390534,0.045418,0.258464,0.276839,0.222655,0.243011,0.132956,0.123765,0.044216,0.020693,0.105666,0.000000,0.000000,0.016973,0.061467,0.020690,0.000000,0.061176,0.100902,0.014585,0.000000,0.288486,0.207246,0.191952,0.025522,0.170526,0.143404,0.222964,0.212067,0.111233,0.043130,0.023297,0.000000,0.041111,0.000000,0.127346,0.115487,0.289015,0.073432,0.123078,0.053602,0.070174,0.029815,0.089559,0.273048,0.100023,0.000000,0.045127,0.045267,0.156968,0.000000,0.024349,0.034577,0.015488,0.109743,0.037908,0.260233,0.120953,0.071283,0.141001,0.000000,0.077442,0.140331,0.079255,0.015111,0.151545,0.382847,0.000000,0.191525,0.036723,0.203835,0.044902,0.000000,0.020797,0.031998,0.047789,0.085079,0.000000,0.037741,0.021632,0.050394,0.008955,0.204837,0.034733,0.118828,0.031891,0.134330,0.098201,0.023510,0.029214,0.062546,0.006435,0.034166,0.112831,0.018407,0.162243,0.010125,0.036303,0.020007,0.044248,0.000000,0.015824,0.247315,0.011960,0.087930,0.125942,0.070573,0.016496,0.019516,0.181309,0.048650,0.039510,0.046960,0.051644,0.000000,0.058110,0.033493,0.070340,0.043570,0.369975,0.163052,0.467101,0.023311,0.011799,0.245740,0.015925,0.054060,0.059352,0.049258,0.189838,0.039757,0.070261,0.005802,0.104267,0.097822,0.024314,0.000000,0.000000,0.034989,0.009999,0.017728,0.014761,0.080612,0.019428,0.000000,0.016100,0.230381,0.048159,0.012120,0.044665,0.000000,0.008317,0.036039,0.073249,0.023957,0.007548,0.195150,0.035180,0.109672,0.205178,0.089291,0.089346,0.093002,0.022115,0.041778,0.000000,0.023869,0.000000,0.075505,0.077621,0.052368,0.032246,0.305310,0.028024,0.073228,0.008674,0.010821,0.078368,0.028579,0.042457,0.027793,0.012183,0.253204,0.000000,0.077888,0.076617,0.043239,0.044953,0.427049
Admconsistency,0.277480,0.261501,0.037225,0.529979,0.565811,1.000000,0.430396,0.243283,0.403436,0.055525,0.270170,0.280652,0.226291,0.265377,0.132532,0.124058,0.060017,0.042311,0.102677,0.010822,0.000000,0.000000,0.066038,0.038819,0.000000,0.070722,0.114223,0.000000,0.000000,0.297841,0.217188,0.219951,0.026035,0.173925,0.146640,0.228577,0.214567,0.138242,0.066226,0.039052,0.000000,0.042093,0.000000,0.132967,0.102813,0.294890,0.077805,0.121624,0.066156,0.072726,0.044504,0.119428,0.281118,0.097228,0.000000,0.050440,0.041470,0.169041,0.037616,0.024252,0.036259,0.022356,0.113650,0.038572,0.258632,0.106667,0.071475,0.144720,0.000000,0.086917,0.142530,0.083025,0.018941,0.152376,0.391972,0.000000,0.197365,0.038275,0.207386,0.048954,0.027115,0.056552,0.032732,0.053744,0.088297,0.000000,0.045367,0.026945,0.046741,0.016199,0.206350,0.034602,0.116991,0.052713,0.138411,0.105177,0.019077,0.022814,0.061268,0.000000,0.037806,0.116970,0.024072,0.165054,0.033462,0.036346,0.025047,0.051711,0.000000,0.016391,0.252737,0.028573,0.089786,0.129798,0.076231,0.017063,0.010040,0.188764,0.052426,0.061676,0.065072,0.051035,0.000000,0.059891,0.032945,0.064248,0.044038,0.378932,0.166382,0.483949,0.026889,0.018189,0.250437,0.031369,0.055311,0.061341,0.044367,0.194157,0.040620,0.070629,0.023963,0.110707,0.099880,0.013944,0.000000,0.000000,0.060818,0.015668,0.000000,0.000000,0.083760,0.020103,0.012816,0.016789,0.230076,0.029536,0.023034,0.077244,0.006140,0.007969,0.045929,0.077711,0.041484,0.000000,0.200495,0.042317,0.115994,0.210867,0.140085,0.114164,0.109577,0.014236,0.033014,0.000000,0.031496,0.000000,0.078414,0.077622,0.062929,0.075514,0.316806,0.028671,0.073631,0.017917,0.000000,0.079950,0.031068,0.046781,0.028477,0.032070,0.258164,0.000000,0.082713,0.085180,0.041122,0.054382,0.436142
Admcontract,0.446164,0.426209,0.027331,0.175787,0.418068,0.430396,1.000000,0.071244,0.156348,0.156167,0.067404,0.205311,0.178981,0.086665,0.133451,0.117689,0.058503,0.000000,0.088306,0.000000,0.000000,0.000000,0.123617,0.067214,0.000000,0.137750,0.123555,0.000000,0.000000,0.217198,0.196809,0.109717,0.000000,0.174239,0.200755,0.420929,0.550241,0.314183,0.171306,0.156077,0.000000,0.045907,0.000000,0.284490,0.177085,0.429153,0.119604,0.093149,0.072614,0.156110,0.113689,0.173974,0.332509,0.188629,0.000000,0.123316,0.057187,0.177162,0.113719,0.000000,0.103646,0.067867,0.114302,0.048380,0.350780,0.271890,0.024214,0.097963,0.000000,0.124823,0.212970,0.104720,0.019722,0.276671,0.372808,0.000000,0.250665,0.000000,0.273439,0.019101,0.064503,0.055936,0.037512,0.064206,0.132125,0.045095,0.058394,0.198030,0.047790,0.049528,0.224752,0.044116,0.093204,0.042673,0.180371,0.172028,0.136601,0.087271,0.131463,0.017395,0.000000,0.188057,0.000000,0.165964,0.067225,0.000000,0.032674,0.093198,0.000000,0.164030,0.237048,0.070903,0.077490,0.309504,0.155855,0.000000,0.064036,0.369051,0.058886,0.031751,0.068666,0.056729,0.054727,0.079709,0.060665,0.122515,0.090875,0.571089,0.375877,0.525982,0.322286,0.034361,0.234164,0.069669,0.067241,0.076276,0.060453,0.173264,0.087781,0.056602,0.034382,0.193652,0.113187,0.069440,0.000000,0.000000,0.100947,0.000000,0.000000,0.083371,0.146130,0.022257,0.000000,0.101906,0.295316,0.054913,0.000000,0.096975,0.000000,0.000000,0.076674,0.087367,0.037614,0.000000,0.214862,0.067280,0.184292,0.216572,0.084477,0.180528,0.135733,0.065256,0.135945,0.000000,0.000000,0.000000,0.154103,0.075162,0.130656,0.134204,0.316385,0.025485,0.057505,0.000000,0.026219,0.104914,0.093977,0.100952,0.027216,0.071123,0.243737,0.000000,0.024075,0.042143,0.061525,0.080286,0.442083
AdmDBP,0.258022,0.252358,0.118252,0.080177,0.235647,0.243283,0.071244,1.000000,0.066886,0.024002,0.312461,0.137567,0.159128,0.161521,0.066190,0.045509,0.068494,0.066782,0.053294,0.000000,0.000000,0.000000,0.151025,0.085264,0.000000,0.072263,0.127830,0.000000,0.064653,0.072268,0.071866,0.050917,0.250533,0.000000,0.086104,0.095765,0.223278,0.064688,0.307728,0.159357,0.000000,0.158301,0.000000,0.120095,0.045806,0.182638,0.065178,0.075606,0.076765,0.074362,0.086997,0.371904,0.174567,0.085218,0.000000,0.000000,0.000000,0.075855,0.094532,0.000000,0.187531,0.019265,0.046367,0.291157,0.071825,0.074476,0.010406,0.045758,0.000000,0.000000,0.178226,0.284454,0.000000,0.136962,0.102624,0.039565,0.093713,0.139477,0.097732,0.096404,0.000000,0.080103,0.095618,0.045830,0.252042,0.000000,0.202091,0.063600,0.057398,0.000000,0.128779,0.002366,0.073699,0.058691,0.083119,0.132757,0.057754,0.000000,0.079103,0.000000,0.000000,0.241102,0.062294,0.147220,0.070391,0.000000,0.035793,0.222326,0.000000,0.000000,0.049199,0.000000,0.021618,0.037509,0.158642,0.372212,0.000000,0.205302,0.000000,0.176395,0.229227,0.000000,0.000000,0.064064,0.070447,0.024737,0.000000,0.301410,0.194396,0.268791,0.073341,0.078678,0.058068,0.000000,0.000000,0.000000,0.019192,0.126757,0.032765,0.117614,0.000000,0.083556,0.127976,0.000000,0.000000,0.000000,0.349715,0.000000,0.000000,0.000000,0.258717,0.144528,0.000000,0.035631,0.110368,0.000000,0.000000,0.265139,0.000000,0.000000,0.052210,0.000000,0.125476,0.000000,0.118888,0.198693,0.073522,0.072786,0.021605,0.111435,0.014639,0.000000,0.030745,0.000000,0.033209,0.000000,0.260490,0.002833,0.054201,0.319360,0.143087,0.000000,0.114543,0.079080,0.000000,0.060761,0.000000,0.126937,0.000000,0.227105,0.060083,0.000000,0.049965,0.013033,0.098945,0.042837,0.237946
Admefface,0.194886,0.177545,0.067849,0.218852,0.390534,0.403436,0.156348,0.066886,1.000000,0.082974,0.054388,0.119679,0.150318,0.116065,0.192131,0.182119,0.061952,0.046089,0.150771,0.082765,0.000000,0.000000,0.168585,0.093291,0.000000,0.118274,0.160200,0.000000,0.000000,0.181135,0.268876,0.217688,0.056481,0.103442,0.184461,0.192819,0.230988,0.197676,0.137127,0.111878,0.000000,0.065438,0.000000,0.213845,0.285895,0.245619,0.094054,0.175707,0.062985,0.123499,0.066198,0.143755,0.179115,0.200870,0.000000,0.077093,0.066181,0.265851,0.189057,0.000000,0.054926,0.015596,0.087777,0.057954,0.349727,0.371385,0.028803,0.104084,0.000000,0.081115,0.167489,0.105042,0.034518,0.382318,0.582378,0.000000,0.293804,0.052285,0.265062,0.000000,0.000000,0.014184,0.010750,0.088351,0.124516,0.142763,0.051614,0.129787,0.051120,0.044178,0.103697,0.068903,0.168486,0.060515,0.130638,0.150269,0.039443,0.027687,0.020365,0.034557,0.000000,0.136313,0.000000,0.198066,0.038676,0.048080,0.048259,0.093234,0.000000,0.059948,0.376183,0.020013,0.093889,0.140558,0.097290,0.062902,0.036442,0.172261,0.067720,0.082116,0.090690,0.000000,0.000000,0.068933,0.081381,0.073889,0.187763,0.334688,0.182753,0.266176,0.114117,0.046715,0.371818,0.025583,0.006648,0.042558,0.087901,0.185701,0.072898,0.068060,0.000000,0.116082,0.098562,0.023326,0.000000,0.000000,0.104914,0.066490,0.000000,0.000000,0.086947,0.000000,0.000000,0.118191,0.315819,0.073469,0.040643,0.122891,0.023922,0.000000,0.121910,0.125514,0.040661,0.090115,0.113634,0.068081,0.121816,0.143238,0.118551,0.124930,0.143382,0.045983,0.057534,0.000000,0.078841,0.000000,0.118634,0.092539,0.074969,0.082642,0.448780,0.012216,0.066924,0.000000,0.000000,0.079474,0.062000,0.022708,0.030081,0.050498,0.377711,0.034389,0.050009,0.076311,0.061444,0.084862,0.213559
Admpresent,0.260093,0.256095,0.105777,0.074422,0.045418,0.055525,0.156167,0.024002,0.082974,1.000000,0.033851,0.153169,0.096616,0.241639,0.406848,0.352913,0.090925,0.000000,0.322455,0.000000,0.000000,0.000000,0.007479,0.054563,0.000000,0.126046,0.044455,0.000000,0.000000,0.196460,0.114189,0.084123,0.025870,0.091801,0.061346,0.210657,0.236102,0.083561,0.000000,0.030086,0.000000,0.032752,0.000000,0.174529,0.080611,0.294781,0.081728,0.058654,0.078910,0.120558,0.117461,0.083545,0.190137,0.070160,0.000000,0.070638,0.000000,0.106928,0.090658,0.000000,0.000000,0.071716,0.049202,0.059639,0.155771,0.123130,0.020646,0.233029,0.041044,0.075677,0.082137,0.000000,0.000000,0.070256,0.269121,0.000000,0.343060,0.034900,0.109212,0.000000,0.053850,0.014144,0.044191,0.091099,0.030837,0.037283,0.087107,0.103260,0.061270,0.072754,0.066312,0.007052,0.059543,0.052463,0.112593,0.105162,0.000000,0.041373,0.037600,0.038809,0.020345,0.036624,0.000000,0.084839,0.000000,0.147593,0.000000,0.047017,0.000000,0.108409,0.159089,0.017920,0.075181,0.248172,0.110223,0.031211,0.038546,0.167672,0.056938,0.040363,0.080681,0.000000,0.000000,0.000000,0.027464,0.051565,0.000000,0.362393,0.250724,0.172807,0.159107,0.032932,0.107663,0.020518,0.000000,0.034075,0.033345,0.050239,0.059261,0.019420,0.000000,0.099141,0.111989,0.027265,0.138672,0.000000,0.000000,0.031593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146679,0.024881,0.000000,0.000000,0.000000,0.000000,0.024218,0.000000,0.042313,0.000000,0.065533,0.088576,0.138326,0.105282,0.053710,0.060239,0.019703,0.011537,0.015211,0.000000,0.026658,0.000000,0.115705,0.085001,0.102687,0.000000,0.230349,0.000000,0.022921,0.000000,0.023414,0.051331,0.000000,0.078117,0.035019,0.056631,0.114995,0.008045,0.013488,0.536493,0.032571,0.143107,0.256882
AdmSBP,0.277371,0.270319,0.085880,0.094154,0.258464,0.270170,0.067404,0.312461,0.054388,0.033851,1.000000,0.104224,0.169091,0.179887,0.103369,0.049107,0.000000,0.000000,0.094749,0.000000,0.000000,0.000000,0.105890,0.088252,0.000000,0.107172,0.161624,0.000000,0.000000,0.088036,0.084783,0.057035,0.161810,0.000000,0.095389,0.100403,0.243017,0.078959,0.358564,0.149225,0.000000,0.334872,0.000000,0.123916,0.057626,0.193288,0.116064,0.041979,0.022677,0.094786,0.098356,0.393274,0.212204,0.079199,0.000000,0.000000,0.034722,0.078787,0.105932,0.000000,0.224013,0.046234,0.082048,0.391603,0.083970,0.079385,0.000000,0.105750,0.000000,0.000000,0.197873,0.388239,0.000000,0.146422,0.125628,0.000000,0.124843,0.000000,0.116205,0.066263,0.078794,0.101711,0.091560,0.026457,0.317569,0.000000,0.112579,0.087236,0.048653,0.061871,0.148424,0.000000,0.039362,0.162207,0.112355,0.166689,0.087724,0.062603,0.068640,0.000000,0.000000,0.307271,0.198295,0.152161,0.000000,0.000000,0.000000,0.318532,0.000000,0.000000,0.078196,0.000000,0.173716,0.077340,0.154423,0.405847,0.000000,0.226970,0.019554,0.193851,0.244572,0.043883,0.144702,0.000000,0.087975,0.023339,0.031779,0.321615,0.215801,0.295731,0.081002,0.071027,0.077990,0.000000,0.000000,0.000000,0.111823,0.163536,0.085483,0.129956,0.000000,0.084128,0.123716,0.040204,0.000000,0.000000,0.399977,0.000000,0.114692,0.075372,0.356055,0.148889,0.000000,0.000000,0.134448,0.000000,0.000000,0.267109,0.000000,0.000000,0.043746,0.000000,0.074619,0.000000,0.125681,0.152500,0.064565,0.099190,0.000000,0.074891,0.000000,0.007407,0.055421,0.000000,0.076344,0.115434,0.334543,0.195688,0.000000,0.360639,0.165157,0.060888,0.127589,0.160119,0.000000,0.067019,0.000000,0.103963,0.260329,0.219790,0.074469,0.056470,0.070768,0.085645,0.107186,0.103522,0.260320
Analgesia,0.289145,0.267325,0.141511,0.129034,0.276839,0.280652,0.205311,0.137567,0.119679,0.153169,0.104224,1.000000,0.204643,0.234127,0.212122,0.184503,0.079681,0.055898,0.189137,0.067837,0.095253,0.018784,0.166688,0.101717,0.000000,0.200180,0.230505,0.000000,0.000000,0.224901,0.268388,0.115758,0.016397,0.214793,0.248013,0.421218,0.614225,0.269991,0.141868,0.123872,0.000000,0.086903,0.000000,0.189774,0.265803,0.572895,0.162531,0.163185,0.089102,0.156604,0.164160,0.166424,0.325469,0.255555,0.031190,0.077193,0.081195,0.237417,0.378679,0.027192,0.045274,0.044868,0.085575,0.102392,0.282926,0.297121,0.067852,0.116541,0.103523,0.097186,0.186969,0.093258,0.043236,0.236673,0.514674,0.029885,0.260477,0.063844,0.314657,0.024502,0.072853,0.113111,0.047193,0.106505,0.100446,0.100016,0.117861,0.243229,0.067405,0.073733,0.120804,0.100188,0.159575,0.102983,0.141026,0.169507,0.043465,0.037037,0.103836,0.049144,0.030146,0.103257,0.000000,0.245170,0.072791,0.071052,0.025236,0.129388,0.000000,0.082789,0.335776,0.093677,0.112985,0.240656,0.103799,0.038135,0.034018,0.346532,0.067647,0.040870,0.077501,0.047387,0.000000,0.093579,0.074884,0.071912,0.027826,0.577518,0.545180,0.435374,0.290298,0.039183,0.337622,0.094526,0.060103,0.075600,0.115169,0.157741,0.073446,0.145125,0.031867,0.141211,0.120579,0.042703,0.054505,0.000000,0.072782,0.027424,0.000000,0.000000,0.080332,0.014188,0.020517,0.077560,0.207158,0.098188,0.029349,0.079118,0.000000,0.000000,0.077605,0.042919,0.083832,0.057937,0.166664,0.092476,0.188860,0.214772,0.099556,0.101040,0.147103,0.036967,0.102610,0.000000,0.043281,0.000000,0.147908,0.085110,0.090951,0.094656,0.516232,0.050803,0.146209,0.017531,0.042199,0.128076,0.039131,0.087322,0.105158,0.128234,0.345281,0.000000,0.051690,0.109036,0.076768,0.079376,0.502214
